THE	69221160871
AND	26468697834
ING	21289988294
ION	20449402244
TIO	16819216214
ENT	15514431359
ATI	11778016773
FOR	11352182252
HER	10921772146
TER	10298054230
HAT	9595332482
THA	9447439870
ERE	8939106849
ATE	8757480213
HIS	8073090301
CON	8068814778
RES	7496974307
VER	7415630371
ALL	7317964040
ONS	7187472617
NCE	6936472580
MEN	6889167446
ITH	6795041998
TED	6610757134
ERS	6524449179
PRO	6441091673
THI	6357454845
WIT	6270098257
ARE	6050931663
ESS	5961685248
NOT	5871622477
IVE	5738676234
WAS	5723542738
ECT	5633214660
REA	5614636634
COM	5512716986
EVE	5367611215
PER	5340402298
INT	5272125236
EST	5093021295
STA	5003705570
CTI	4965296625
ICA	4851083411
IST	4696789776
EAR	4565761282
AIN	4507928531
ONE	4425109105
OUR	4406006814
ITI	4405426644
RAT	4343095846
NTE	4326059573
TIN	4314722175
INE	4289473708
DER	4270017146
OME	4215212970
MAN	4170329466
PRE	4165466522
ROM	4120910706
TRA	4103386993
WHI	4056368486
AVE	4051571914
STR	4004702365
ACT	3996307044
ILL	3995118251
URE	3944467758
IDE	3916831962
OVE	3916118810
CAL	3912525152
BLE	3874673895
OUT	3862229953
STI	3838372232
TIC	3827724881
OUN	3822970506
ENC	3804294828
ORE	3797463503
ANT	3755591976
ITY	3740314311
FRO	3734044758
ART	3726591176
TUR	3716216523
PAR	3691428919
RED	3671917165
OTH	3662729446
ERI	3634984261
HIC	3617867236
IES	3606387088
STE	3592565889
GHT	3589011577
ICH	3577428959
IGH	3553478573
UND	3541129200
YOU	3526888940
ORT	3525114055
ERA	3467154217
WER	3454801393
NTI	3452787542
OUL	3393996042
NDE	3371859569
IND	3370038532
THO	3369505315
HOU	3342574324
NAL	3328174739
BUT	3288060978
HAV	3269289459
ULD	3260062247
USE	3249161948
HAN	3236577761
HIN	3192784848
EEN	3150099353
CES	3146412304
COU	3131814971
LAT	3128928842
TOR	3117606678
ESE	3083065459
AGE	3079371068
AME	3063470381
RIN	3061940657
ANC	3061152975
TEN	3046276919
HEN	3028124771
MIN	3014281990
EAS	2978912999
CAN	2944892098
LIT	2944248001
CHA	2937894826
OUS	2923340166
EAT	2920916694
END	2874159170
SSI	2855479709
IAL	2846884929
LES	2840778947
REN	2834101790
TIV	2823963719
NTS	2819913821
WHE	2819913224
TAT	2816539690
ABL	2813941563
DIS	2773684939
RAN	2756632817
WOR	2730928730
ROU	2725119281
LIN	2717930332
HAD	2716612700
SED	2712220619
ONT	2709693161
PLE	2709301962
UGH	2701766755
INC	2670371826
SIO	2666874725
DIN	2664194678
RAL	2641166088
UST	2626257068
TAN	2585346335
NAT	2583946305
INS	2580114109
ASS	2562588038
PLA	2561364747
VEN	2561186428
ELL	2560301401
SHE	2537293543
OSE	2536016912
ITE	2534327799
LLY	2527757315
REC	2526083797
LAN	2505261403
ARD	2487791987
HEY	2482083623
RIE	2479665577
POS	2464211596
EME	2455833072
MOR	2447547857
DEN	2429526864
OUG	2428002205
TTE	2421458175
NED	2407171853
RIT	2393330568
IME	2376231548
SIN	2346887414
AST	2340144326
ANY	2326409599
ORM	2324611512
NDI	2324589034
ONA	2322176393
SPE	2318638245
ENE	2315419652
HEI	2313435041
RIC	2308293732
ICE	2294801209
ORD	2286715485
OMP	2282867653
NES	2282287423
SEN	2279307132
TIM	2278831703
TRI	2274907285
ERN	2267519557
TES	2254187013
POR	2253847267
APP	2250639905
LAR	2206970736
NTR	2204208420
EIR	2204032234
SHO	2200493723
SON	2170183171
CAT	2166573173
LLE	2165623064
NER	2164964142
HES	2163142912
WHO	2160306172
MAT	2157479849
ASE	2154434497
KIN	2151792089
OST	2150055872
BER	2140061455
ITS	2139410770
NIN	2139022753
LEA	2131394724
INA	2115500516
MPL	2114302261
STO	2113597230
ARI	2098441070
PRI	2094394221
OWN	2094281927
ALI	2092006545
REE	2078805186
ISH	2074242414
DES	2065715430
EAD	2060206998
NST	2054599822
SIT	2052297953
SES	2048207199
ANS	2026036276
HAS	2017612960
GRE	2001721438
ONG	2001446810
ALS	2000332681
FIC	1997879534
UAL	1996324956
IEN	1995121823
GEN	1991701772
SER	1987057848
UNT	1982548278
ECO	1981693790
NTA	1978715787
ACE	1977975504
CHI	1975189149
FER	1975124250
TAL	1972799407
LOW	1970111275
ACH	1966761386
IRE	1964868193
ANG	1962979826
SSE	1960826586
GRA	1959140336
MON	1955584919
FFE	1952351948
RAC	1946702195
SEL	1944734073
UNI	1943038289
AKE	1943012492
ARY	1933364771
WIL	1932036855
LED	1931510341
DED	1927628435
SOM	1911763476
OWE	1902222370
HAR	1901770930
INI	1891645157
OPE	1888113123
NGE	1885057822
UCH	1883741792
REL	1881145045
CHE	1879547813
ADE	1878265265
ATT	1875749484
CIA	1873567925
EXP	1868948910
MER	1866252229
LIC	1856452455
HEM	1837812879
ERY	1835595583
NSI	1823155367
OND	1821563403
RTI	1821040658
DUC	1819169719
HOW	1815729773
ERT	1809544701
SEE	1801727547
NOW	1791229670
IMP	1787558291
ABO	1787056888
PEC	1784226987
CEN	1783826555
RIS	1782076111
MAR	1775964347
ENS	1770996323
TAI	1765027033
ELY	1751308590
OMM	1747661259
SUR	1735122761
HEA	1719821233
ULA	1713255664
ULT	1712422601
ILI	1696501308
BEE	1688792738
ORK	1683087659
LIS	1682095398
NIT	1679865263
ORI	1679533364
THR	1673179164
ATH	1656426922
VEL	1654573696
TIE	1642539281
ANI	1625600626
CUL	1623340608
HIL	1623042285
TEM	1622557132
RIA	1619408655
TRE	1616513740
IVI	1606414119
VES	1605862116
PEN	1603639140
CRE	1603148614
OLL	1597970087
ELE	1594486155
LON	1587180640
WAR	1583926445
EQU	1583257479
TRO	1582672298
EAL	1576388073
REP	1574573479
ELI	1573591451
IAN	1569158397
SID	1568981834
ISE	1568344516
ERV	1556518611
TRU	1549162360
ILE	1548861086
QUE	1540834455
HIM	1537248696
MED	1533532886
WOU	1530956183
FIN	1520863786
UCT	1516594336
OLD	1505803220
OOD	1500709917
COR	1495416668
NEW	1494928759
EAC	1481161790
ERM	1475075676
FAC	1472843774
BOU	1471128114
ACK	1464619127
SUC	1463698853
EDI	1451750421
NTO	1449629791
CAR	1448156884
OLI	1443365710
NLY	1440124041
MIL	1439084774
EED	1437607478
WAY	1431027289
ROP	1428409887
ITA	1427457862
ETH	1414693947
ECI	1414091861
UTI	1414080695
MAY	1412466904
ICI	1411469580
WHA	1407866798
RMA	1402784961
ARA	1392894978
QUI	1384393039
REM	1380269169
MBE	1376365247
FTE	1371492548
RST	1364987497
VED	1359443941
CTE	1357259543
NDS	1350307486
FIR	1350121749
LIE	1348622147
MET	1345596441
OOK	1340578410
MOS	1336327519
MES	1335784567
ACC	1335476272
VIN	1335241247
GIN	1329414655
ETE	1324106156
RGE	1318433016
OIN	1315707093
ARR	1315150675
HOL	1312505295
IGN	1312444251
SEC	1311031779
PON	1310917185
ESI	1310432300
TLY	1303246357
EMP	1301427587
SIS	1299963406
IED	1296080290
OTE	1295951836
RTH	1294805606
MAL	1292178604
COL	1288310679
DIT	1282288818
BLI	1279029992
RON	1278719824
GES	1276369776
SHI	1275044982
CIE	1273539579
ATU	1271862404
RET	1268237862
GER	1268117314
REF	1267265138
OLO	1265524937
AUS	1262012449
RCH	1261302449
LAC	1257561661
LLO	1256491417
TLE	1251635091
TIT	1246928327
IFI	1245924749
HOS	1244713023
BEC	1241611218
PEA	1240165018
ECE	1236102954
LLI	1236074227
ONC	1235335543
RCE	1234682633
FUL	1234540963
GRO	1230277639
ORS	1222304913
LAS	1220793842
RIO	1220235046
ARS	1217318786
CED	1216728247
WIN	1216304177
ONL	1214820120
VID	1212096337
NGS	1209854635
IOU	1207913620
ORY	1206606762
CLE	1202720861
LEC	1201130773
ITT	1197174866
URI	1196296508
OSS	1189532371
RTA	1187187660
CER	1185469813
POL	1183491197
NIS	1182596115
ARL	1178491856
EXT	1175724950
HED	1175539685
PPE	1171579952
ISI	1170738876
VAL	1167421106
ARG	1163598275
RIG	1158099454
NSE	1155938022
HOR	1153746894
ISS	1152026468
IAT	1151580638
CRI	1150300966
ELA	1149221682
ESP	1148639931
ITU	1144223267
TWO	1144145849
NOR	1141113001
RSE	1140048363
OFF	1138112310
IFF	1137844863
TEL	1137132381
ETI	1133782356
IRS	1132908546
CUR	1129852214
AID	1127820011
BET	1126658971
RAI	1122870370
CAS	1118830228
TIL	1115377334
LSO	1113441267
CHO	1111222473
EAN	1111113412
OCI	1107578343
TAB	1104333417
QUA	1103867434
FFI	1102521640
USI	1101229824
MPO	1098955147
DIA	1097668021
IKE	1097326708
PAT	1094793206
TON	1094573483
DIF	1094447781
UES	1093884478
MIT	1091175791
SOC	1090079564
SHA	1088317972
KNO	1087994813
ROV	1087399037
NCI	1087234797
MUS	1085334955
URA	1083612677
AFT	1081392153
LOG	1080913704
HRO	1080845222
INF	1078671633
CAU	1078089074
LET	1077677454
ALT	1077612543
RRE	1076901529
ANA	1076655840
ELF	1072288962
ENG	1072068149
ETT	1071390354
ORA	1068437016
MIS	1067766067
REG	1067531461
LIG	1066978562
EPT	1066672616
AIL	1066295388
URN	1065987062
UTE	1065304600
ROD	1065013738
IMA	1062594282
MEA	1061920786
TAR	1057905784
ALE	1055994193
OLE	1055326048
OSI	1053469905
EIN	1052378146
UTH	1044564536
WEL	1041901536
CLA	1041148273
WEE	1038999155
TIA	1034746450
EMB	1034111034
DAY	1030064586
ASI	1027882324
RDE	1027838103
STU	1027123631
URS	1027037553
FOU	1022261274
IZE	1022022237
OMI	1020006801
EFO	1016116936
LIK	1013577522
REV	1011248116
AYS	1005365430
ELO	1001816277
RAD	998833818
DEA	998176981
TAK	997809257
SUP	997681045
SUB	997657281
SOU	996701032
ECA	996015864
EMA	990902887
ODU	990596720
YEA	989592751
ILD	989324892
SPO	987586071
LEN	986126642
MPA	985870333
DIC	984016286
PLI	983904792
FEC	981757516
RRI	981231076
EVI	979630535
ICT	975024267
TUD	974798180
LOS	973051701
CTU	972918524
LEM	970055754
HAL	968450734
TWE	965876224
ISC	963324995
ROC	960910746
CTO	959250391
ARC	958282541
SIG	955015092
AMI	954200048
KED	947646862
JEC	947396391
HAP	945457718
PTI	944224042
BRI	943772016
UBL	943284050
SOL	942835095
RLY	941843958
CIT	940565695
ADI	939330729
FRE	938202358
